so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,44,0.002,0.3,,,1,16,1,14,경남,,1,,1,,2026-02-24 23:00,1,0.011,회원동,1,0.027
1,,41,0.002,0.4,,,1,16,1,10,경남,,1,,1,,2026-02-24 23:00,1,0.013,봉암동,1,0.025
1,,36,0.002,0.4,,,1,16,1,7,경남,,1,,1,,2026-02-24 23:00,1,0.015,내서읍,1,0.021
1,,55,0.002,0.2,,,2,8,2,6,경남,,1,,1,,2026-02-24 23:00,1,0.005,상봉동,1,0.035
1,,56,0.003,0.3,,,2,6,2,6,경남,,1,,1,,2026-02-24 23:00,1,0.005,대안동,1,0.036
1,,53,0.002,0.2,,,2,5,2,5,경남,,1,,1,,2026-02-24 23:00,1,0.007,상대동(진주),1,0.033
1,,46,0.002,0.4,,,1,4,1,5,경남,,1,,1,,2026-02-24 23:00,1,0.009,정촌면,1,0.028
1,,49,0.003,0.3,,,1,4,1,3,경남,,1,,1,,2026-02-24 23:00,1,0.011,명서동,1,0.029
1,,51,0.002,0.3,,,2,7,2,5,경남,,1,,1,,2026-02-24 23:00,1,0.011,웅남동,1,0.030
1,,49,0.002,0.3,,,1,6,1,5,경남,,1,,1,,2026-02-24 23:00,1,0.012,성주동,1,0.030
1,,52,0.002,0.2,,,2,7,2,8,경남,,1,,1,,2026-02-24 23:00,1,0.009,용지동,1,0.031
1,,48,0.002,0.3,,,1,6,1,7,경남,,1,,1,,2026-02-24 23:00,1,0.010,반송로,1,0.029
1,,47,0.002,0.4,,,1,9,1,4,경남,,1,,1,,2026-02-24 23:00,1,0.011,사파동,1,0.028
1,,43,0.002,0.5,,,1,7,1,6,경남,,1,,1,,2026-02-24 23:00,1,0.011,삼진로,1,0.026
1,,57,0.002,0.4,,,2,5,2,3,경남,,1,,1,,2026-02-24 23:00,1,0.005,경화동,1,0.037
1,,55,0.002,0.3,,,2,5,2,4,경남,,1,,1,,2026-02-24 23:00,1,0.009,월영동,1,0.035
1,,59,0.003,0.2,,,2,6,2,2,경남,,1,,1,,2026-02-24 23:00,1,0.004,하동읍,1,0.040
1,,59,0.002,0.2,,,2,3,2,0,경남,,1,,1,,2026-02-24 23:00,1,0.004,금성면,1,0.040
1,,51,0.003,0.4,,,2,6,2,7,경남,,1,,1,,2026-02-24 23:00,1,0.008,동상동,1,0.030
1,,63,0.003,0.2,,,2,4,2,0,경남,,1,,1,,2026-02-24 23:00,1,0.004,삼방동,1,0.045
1,,53,0.002,0.3,,,2,6,2,7,경남,,1,,1,,2026-02-24 23:00,1,0.011,장유동,1,0.033
1,,44,0.003,0.3,,,1,5,1,5,경남,,1,,1,,2026-02-24 23:00,1,0.012,진영읍,1,0.027
1,,52,0.002,0.3,,,2,6,2,3,경남,,1,,1,,2026-02-24 23:00,1,0.013,김해대로,1,0.031
1,,43,0.002,0.3,,,1,19,1,10,경남,,1,,1,,2026-02-24 23:00,1,0.012,진례면,1,0.023
1,,64,0.002,0.1,,,2,8,2,4,경남,,1,,1,,2026-02-24 23:00,1,0.005,저구리,1,0.046
1,,52,0.003,0.3,,,2,10,2,6,경남,,1,,1,,2026-02-24 23:00,1,0.010,아주동,1,0.032
1,,54,0.002,0.4,,,2,6,2,4,경남,,1,,1,,2026-02-24 23:00,1,0.008,고현동,1,0.033
1,,52,0.002,0.1,,,2,7,2,8,경남,,1,,1,,2026-02-24 23:00,1,0.009,사천읍,1,0.031
1,,52,0.002,0.4,,,2,1,2,5,경남,,1,,1,,2026-02-24 23:00,1,0.007,향촌동,1,0.032
1,,44,0.002,0.4,,,1,14,1,11,경남,,1,,1,,2026-02-24 23:00,1,0.010,대산면,1,0.027
1,,57,0.002,0.3,,,2,11,2,6,경남,,1,,1,,2026-02-24 23:00,1,0.010,옥포항,1,0.038
1,,60,0.003,0.3,,,2,6,2,2,경남,,1,,1,,2026-02-24 23:00,1,0.007,북부동,1,0.041
1,,57,0.005,0.5,,,2,4,2,0,경남,,1,,1,,2026-02-24 23:00,1,0.009,삼호동,1,0.038
1,,-,0.002,0.5,,통신장애,2,-,,0,경남,,1,,1,,2026-02-24 23:00,1,0.007,물금읍,,0.040
1,,58,0.004,0.3,,,2,7,2,6,경남,,1,,1,,2026-02-24 23:00,1,0.008,내일동,1,0.038
1,,56,0.003,0.2,,,2,8,2,9,경남,,1,,1,,2026-02-24 23:00,1,0.010,무전동,1,0.036
1,,56,0.002,0.2,,,2,10,2,10,경남,,1,,1,,2026-02-24 23:00,1,0.007,고성읍,1,0.036
1,,47,0.002,0.2,,,1,18,1,16,경남,,1,,1,,2026-02-24 23:00,1,0.013,거창읍,1,0.024
1,,45,0.002,0.6,,,1,12,1,13,경남,,1,,1,,2026-02-24 23:00,1,0.013,가야읍,1,0.027
1,,50,0.003,0.2,,,1,21,1,17,경남,,1,,1,,2026-02-24 23:00,1,0.013,함양읍,1,0.019
1,,57,0.002,0.2,,,2,6,2,4,경남,,1,,1,,2026-02-24 23:00,1,0.004,남해읍,1,0.037
1,,33,0.002,0.3,,,1,14,1,8,경남,,1,,1,,2026-02-24 23:00,1,0.014,산청읍,1,0.017
1,,47,0.003,0.4,,,1,29,1,14,경남,,1,,1,,2026-02-24 23:00,1,0.011,남상면,1,0.015
1,,52,0.002,0.3,,,2,5,2,3,경남,,1,,1,,2026-02-24 23:00,1,0.009,의령읍,1,0.031
1,,32,0.002,0.3,,,1,12,1,9,경남,,1,,1,,2026-02-24 23:00,1,0.017,창녕읍,1,0.019
1,,30,0.002,0.3,,,1,9,1,7,경남,,1,,1,,2026-02-24 23:00,1,0.012,합천읍,1,0.018
1,,40,0.001,0.3,,,1,12,1,14,경남,,1,,1,,2026-02-24 23:00,1,0.015,마산항,1,0.021
1,,60,0.002,0.2,,,2,6,2,1,경남,,1,,1,,2026-02-24 23:00,1,0.005,하동항,1,0.042
1,,54,0.002,0.3,,,2,13,2,11,경남,,1,,1,,2026-02-24 23:00,1,0.014,삼천포항,1,0.034
,통신장애,-,-,-,통신장애,통신장애,,-,,-,경남,통신장애,,통신장애,,통신장애,2026-02-24 23:00,,-,진해항,,-
